Description	Resource	Path	Location	Type
Project 'ACMMM-Presentation' is missing required library: 'C:\Maven\repository\bouncycastle\bcmail-jdk14\136\bcmail-jdk14-136.jar'	ACMMM-Presentation		Build path	Build Path Problem
Project 'ACMMM-Presentation' is missing required library: 'C:\Maven\repository\bouncycastle\bcprov-jdk14\136\bcprov-jdk14-136.jar'	ACMMM-Presentation		Build path	Build Path Problem
Project 'ACMMM-Presentation' is missing required library: 'C:\Maven\repository\com\lowagie\itext\2.1.0\itext-2.1.0.jar'	ACMMM-Presentation		Build path	Build Path Problem
Project 'ACMMM-Presentation' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	ACMMM-Presentation		Build path	Build Path Problem
Project 'animation' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	animation		Build path	Build Path Problem
Project 'audio-processing' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	audio-processing		Build path	Build Path Problem
Project 'camera-calibration' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	camera-calibration		Build path	Build Path Problem
Project 'CampusView' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	CampusView		Build path	Build Path Problem
Project 'CBIRTools' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	CBIRTools		Build path	Build Path Problem
Project 'CityLandscapeClassifier' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	CityLandscapeClassifier		Build path	Build Path Problem
Project 'clustering' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	clustering		Build path	Build Path Problem
Project 'ClusterQuantiserTool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	ClusterQuantiserTool		Build path	Build Path Problem
Project 'common-stream' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	common-stream		Build path	Build Path Problem
Project 'core-audio' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-audio		Build path	Build Path Problem
Project 'core-experiment' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-experiment		Build path	Build Path Problem
Project 'core-feature' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-feature		Build path	Build Path Problem
Project 'core-gpgpu' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-gpgpu		Build path	Build Path Problem
Project 'core-hadoop-tool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-hadoop-tool		Build path	Build Path Problem
Project 'core-hadoop' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-hadoop		Build path	Build Path Problem
Project 'core-image' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-image		Build path	Build Path Problem
Project 'core-math' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-math		Build path	Build Path Problem
Project 'core-rdf' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-rdf		Build path	Build Path Problem
Project 'core-storm-tool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-storm-tool		Build path	Build Path Problem
Project 'core-storm' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-storm		Build path	Build Path Problem
Project 'core-tool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-tool		Build path	Build Path Problem
Project 'core-video-capture' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-video-capture		Build path	Build Path Problem
Project 'core-video' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-video		Build path	Build Path Problem
Project 'core-web' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core-web		Build path	Build Path Problem
Project 'core' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	core		Build path	Build Path Problem
Project 'data-scraping' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	data-scraping		Build path	Build Path Problem
Project 'demos' is missing required library: 'C:\Maven\repository\bouncycastle\bcmail-jdk14\136\bcmail-jdk14-136.jar'	demos		Build path	Build Path Problem
